source_id,configuration,beta_deg,source_pdf_page_primary,appendix_page_primary,source_pdf_page_duplicate,appendix_page_duplicate,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,60,0.10,,0.001,0.54,0.093,-0.211,-0.0068,-0.1022,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,60,0.20,,0.000,0.53,0.079,-0.294,-0.0082,-0.1381,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,74,A11,65,-0.40,,-0.017,0.61,0.099,0.088,-0.0029,0.0678,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,74,A11,65,-0.30,,-0.013,0.56,0.075,0.044,-0.0032,0.0467,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,74,A11,65,-0.20,,-0.010,0.52,0.050,0.033,-0.0030,0.0332,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,74,A11,65,-0.10,,-0.009,0.53,0.072,-0.062,-0.0062,-0.0027,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,74,A11,65,0.00,1,-0.006,0.53,0.099,-0.024,-0.0027,0.0023,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,74,A11,65,0.00,2,-0.007,0.53,0.101,-0.027,-0.0027,0.0014,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,74,A11,65,0.10,,0.001,0.54,0.080,-0.182,-0.0066,-0.0982,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,74,A11,65,0.20,,-0.010,0.55,0.115,-0.221,-0.0066,-0.1047,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
