source_id,configuration,beta_deg,rudder_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,-0.30,,0.056,1.70,0.318,0.251,0.0163,0.1228,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,-0.20,,0.060,1.66,0.335,0.151,0.0095,0.0713,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,-0.10,,0.059,1.65,0.354,0.082,0.0013,0.0196,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,-0.05,,0.060,1.66,0.360,0.057,-0.0005,0.0088,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,0.00,1,0.076,1.60,0.360,0.006,0.0002,-0.0034,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,0.00,2,0.078,1.59,0.357,0.005,-0.0007,-0.0022,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,0.05,,0.070,1.70,0.392,-0.027,-0.0001,-0.0078,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,0.10,,0.072,1.70,0.386,-0.068,-0.0002,-0.0140,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,0.20,,0.071,1.68,0.351,-0.113,-0.0064,-0.0390,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,0.30,,0.065,1.71,0.316,-0.226,-0.0164,-0.1086,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,50,-0.40,,0.048,1.75,0.159,0.241,0.0274,0.1819,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
