source_id,configuration,beta_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,0.05,,0.038,1.32,-0.078,-0.013,-0.0067,-0.0089,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,0.10,,0.041,1.36,-0.086,-0.070,0.0035,-0.0236,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,0.20,,0.044,1.39,-0.082,-0.141,-0.0053,-0.0590,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,0.30,,0.038,1.54,-0.106,-0.207,0.0047,-0.0937,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,0.40,,0.028,1.64,-0.138,-0.280,0.0033,-0.1322,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,-0.40,,0.013,1.77,-0.147,0.372,0.0018,0.1598,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,-0.30,,0.025,1.61,-0.111,0.277,0.0078,0.1167,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,-0.20,,0.027,1.45,-0.108,0.236,0.0111,0.0931,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,-0.10,,0.027,1.39,-0.099,0.203,0.0117,0.0763,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,-0.05,,0.029,1.38,-0.100,0.147,0.0097,0.0574,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,0.00,1,0.041,1.33,-0.086,0.038,0.0007,0.0195,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,0.00,2,0.039,1.34,-0.085,0.045,-0.0017,0.0215,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,0.05,,0.032,1.37,-0.072,0.012,-0.0033,0.0072,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,0.10,,0.032,1.37,-0.079,-0.030,-0.0032,-0.0150,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,0.20,,0.036,1.45,-0.094,-0.162,0.0081,-0.0785,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,0.30,,0.034,1.58,-0.111,-0.230,0.0030,-0.1089,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,50,0.40,,0.025,1.70,-0.142,-0.337,-0.0034,-0.1585,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,-0.40,,0.011,1.75,-0.107,0.320,0.0185,0.1394,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,-0.30,,0.017,1.63,-0.129,0.287,0.0122,0.1348,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
