point,factor,mode,real_per_s,imag_rad_s,abs_difference_to_chosen
47,1,D,-0.46613164987552125,0,0.000E+000
47,0.33333333333333331,A+,0.813893916302658,0.86791883300514394,9.501E-006
47,0.33333333333333331,A-,0.813893916302658,-0.86791883300514394,9.501E-006
47,0.33333333333333331,B+,-0.039554997984601846,0.15508119485003047,1.098E-006
47,0.33333333333333331,B-,-0.039554997984601846,-0.15508119485003047,1.098E-006
47,0.33333333333333331,E,-0.058659830526170062,0,6.208E-007
47,0.33333333333333331,C+,-0.20617353298190083,4.0836324346104895,1.221E-005
47,0.33333333333333331,C-,-0.20617353298190083,-4.0836324346104895,1.221E-005
47,0.33333333333333331,D,-0.46613204021311688,0,3.903E-007
47,0.1,A+,0.81390967403730274,0.86794468355149057,2.080E-005
47,0.1,A-,0.81390967403730274,-0.86794468355149057,2.080E-005
47,0.1,B+,-0.039552007069881406,0.15507785602043161,3.387E-006
47,0.1,B-,-0.039552007069881406,-0.15507785602043161,3.387E-006
47,0.1,E,-0.058659622470562556,0,8.288E-007
47,0.1,C+,-0.20617339743980936,4.0836280184914191,1.662E-005
47,0.1,C-,-0.20617339743980936,-4.0836280184914191,1.662E-005
47,0.1,D,-0.46613216065343371,0,5.108E-007
47,0.03,A+,0.81389119948585265,0.86791565155366146,1.367E-005
47,0.03,A-,0.81389119948585265,-0.86791565155366146,1.367E-005
47,0.03,B+,-0.039553810979001972,0.15508197136670021,1.708E-006
47,0.03,B-,-0.039553810979001972,-0.15508197136670021,1.708E-006
47,0.03,E,-0.058659544732003924,0,9.066E-007
47,0.03,C+,-0.20617338593922005,4.0836268086382344,1.783E-005
47,0.03,C-,-0.20617338593922005,-4.0836268086382344,1.783E-005
47,0.03,D,-0.4661322338143381,0,5.839E-007
47,0.01,A+,0.81408245962128323,0.86821879903094379,3.448E-004
47,0.01,A-,0.81408245962128323,-0.86821879903094379,3.448E-004
47,0.01,B+,-0.039522881988680175,0.15504136781035344,5.006E-005
47,0.01,B-,-0.039522881988680175,-0.15504136781035344,5.006E-005
47,0.01,E,-0.058659536078176783,0,9.152E-007
47,0.01,C+,-0.20617335593387154,4.0836264711785173,1.817E-005
47,0.01,C-,-0.20617335593387154,-4.0836264711785173,1.817E-005
47,0.01,D,-0.46613222197807386,0,5.721E-007
47,0.003,A+,0.81410747817768025,0.86825213224393893,3.864E-004
47,0.003,A-,0.81410747817768025,-0.86825213224393893,3.864E-004
47,0.003,B+,-0.03951877147029427,0.15503619634640631,5.667E-005
47,0.003,B-,-0.03951877147029427,-0.15503619634640631,5.667E-005
47,0.003,E,-0.058659522502027044,0,9.288E-007
47,0.003,C+,-0.20617334591561476,4.0836262638848151,1.838E-005
47,0.003,C-,-0.20617334591561476,-4.0836262638848151,1.838E-005
47,0.003,D,-0.46613221980882874,0,5.699E-007
20,100,B+,-0.0049402633673312039,0.1176166479675079,3.200E-003
20,100,B-,-0.0049402633673312039,-0.1176166479675079,3.200E-003
20,100,C+,-0.13074305328685909,3.6523392458630282,1.927E-003
20,100,C-,-0.13074305328685909,-3.6523392458630282,1.927E-003
20,100,E,-0.14079286380843675,0,1.004E-004
20,100,D,-0.38158311897266012,0,3.664E-005
20,100,A+,-1.41208752066224,0.99422222480478051,5.555E-003
20,100,A-,-1.41208752066224,-0.99422222480478051,5.555E-003
20,30,B+,-0.0059058536940022888,0.11484487856768641,2.652E-004
20,30,B-,-0.0059058536940022888,-0.11484487856768641,2.652E-004
20,30,C+,-0.13071941917215774,3.6509808535087127,5.689E-004
20,30,C-,-0.13071941917215774,-3.6509808535087127,5.689E-004
20,30,E,-0.14072187765102812,0,2.945E-005
20,30,D,-0.38160903004763563,0,1.073E-005
20,30,A+,-1.4114791068655115,0.99923977964568,5.011E-004
20,30,A-,-1.4114791068655115,-0.99923977964568,5.011E-004
20,10,B+,-0.0059833967055425239,0.1146217838285145,2.897E-005
20,10,B-,-0.0059833967055425239,-0.1146217838285145,2.897E-005
20,10,C+,-0.13071267216082441,3.6505890130780152,1.770E-004
20,10,C-,-0.13071267216082441,-3.6505890130780152,1.770E-004
20,10,E,-0.14070157902054486,0,9.147E-006
20,10,D,-0.38161642908813348,0,3.330E-006
20,10,A+,-1.4114332195388337,0.99968369964488835,5.485E-005
20,10,A-,-1.4114332195388337,-0.99968369964488835,5.485E-005
20,3,B+,-0.0059921490282484995,0.11459657570510534,2.281E-006
20,3,B-,-0.0059921490282484995,-0.11459657570510534,2.281E-006
20,3,C+,-0.13071030608837925,3.6504514562205461,3.938E-005
20,3,C-,-0.13071030608837925,-3.6504514562205461,3.938E-005
20,3,E,-0.14069446364972579,0,2.032E-006
20,3,D,-0.38161901734347486,0,7.415E-007
20,3,A+,-1.4114283107261274,0.99973455429103086,3.851E-006
20,3,A-,-1.4114283107261274,-0.99973455429103086,3.851E-006
20,1,B+,-0.00599292861807665,0.11459443162221541,0.000E+000
20,1,B-,-0.00599292861807665,-0.11459443162221541,0.000E+000
20,1,C+,-0.13070963574053832,3.650412083874409,0.000E+000
20,1,C-,-0.13070963574053832,-3.650412083874409,0.000E+000
20,1,E,-0.14069243176467947,0,0.000E+000
20,1,D,-0.38161975887056093,0,0.000E+000
